CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_NVA_ALIANZA,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,493,1,13.0,46.0,9.0,55.0,13.0,7.0,5.0,28.0,4.0,2.0,,7.0,0.0,0.0,15.0,204.0,622
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,494,1,11.0,40.0,15.0,37.0,3.0,6.0,5.0,12.0,3.0,4.0,,7.0,0.0,0.0,8.0,151.0,510
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,495,1,4.0,48.0,14.0,23.0,4.0,9.0,3.0,25.0,3.0,4.0,,7.0,0.0,0.0,9.0,153.0,488
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,496,1,5.0,40.0,9.0,25.0,9.0,8.0,4.0,15.0,5.0,3.0,,3.0,0.0,0.0,13.0,139.0,399
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,497,2,27.0,64.0,22.0,72.0,13.0,30.0,14.0,61.0,12.0,11.0,,11.0,0.0,0.0,14.0,351.0,1250
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,498,4,37.0,144.0,59.0,111.0,26.0,43.0,25.0,91.0,17.0,20.0,,25.0,0.0,1.0,25.0,624.0,2349
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,499,1,13.0,25.0,19.0,23.0,5.0,8.0,3.0,12.0,6.0,7.0,,7.0,0.0,1.0,6.0,135.0,512
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,500,2,21.0,57.0,24.0,82.0,10.0,20.0,5.0,43.0,3.0,18.0,,7.0,0.0,0.0,20.0,310.0,948
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,501,1,10.0,31.0,8.0,40.0,7.0,10.0,4.0,14.0,1.0,3.0,,6.0,0.0,0.0,19.0,153.0,441
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,502,2,19.0,58.0,24.0,81.0,5.0,13.0,9.0,38.0,8.0,6.0,,12.0,0.0,0.0,14.0,287.0,914
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,503,1,19.0,47.0,25.0,46.0,6.0,9.0,6.0,12.0,2.0,4.0,,6.0,0.0,0.0,4.0,186.0,624
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,504,2,11.0,67.0,19.0,51.0,6.0,19.0,10.0,44.0,3.0,8.0,,10.0,0.0,1.0,17.0,266.0,761
